Onderwerpen_1,Onderwerpen_2,Soort misdrijf,Regio's,Perioden,Waarde eenheid,Waarde
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2005,aantal,791765
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2006,aantal,746245
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2007,aantal,722365
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2008,aantal,717245
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2009,aantal,721065
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,1 Vermogensmisdrijven,Nederland,2010*,aantal,699970
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2005,aantal,229935
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2006,aantal,233790
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2007,aantal,241880
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2008,aantal,231795
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2009,aantal,213755
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,2 Vernieling en openbare orde,Nederland,2010*,aantal,184050
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2005,aantal,122690
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2006,aantal,123680
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2007,aantal,125055
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2008,aantal,120035
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2009,aantal,117730
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,3 Gewelds- en seksuele misdrijven,Nederland,2010*,aantal,108085
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2005,aantal,10380
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2006,aantal,10215
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2007,aantal,10905
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2008,aantal,10475
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2009,aantal,10945
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,4 Overige misdrijven WvSr,Nederland,2010*,aantal,10715
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2005,aantal,154895
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2006,aantal,158865
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2007,aantal,161815
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2008,aantal,157365
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2009,aantal,149820
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,5 Verkeersmisdrijven,Nederland,2010*,aantal,150585
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2005,aantal,19385
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2006,aantal,20000
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2007,aantal,19465
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2008,aantal,18670
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2009,aantal,18715
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,6 Drugsmisdrijven,Nederland,2010*,aantal,21175
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2005,aantal,6445
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2006,aantal,6075
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2007,aantal,6125
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2008,aantal,5985
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2009,aantal,6485
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,7 (Vuur)wapenmisdrijven,Nederland,2010*,aantal,5520
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2005,aantal,6455
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2006,aantal,5450
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2007,aantal,5215
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2008,aantal,4600
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2009,aantal,4780
Geregistreerde misdrijven,Totaal geregistreerde misdrijven,9 Misdrijven overige wetten,Nederland,2010*,aantal,4645
